filename,workload,bytes,zenodo_md5,sha256,downloaded,source_url,doi,record
600.perlbench_s-1273B.champsimtrace.xz,600.perlbench,145497980,eff9e488f6d50b4eb470ff26f70fa053,,no,https://zenodo.org/api/records/10960004/files/600.perlbench_s-1273B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
600.perlbench_s-210B.champsimtrace.xz,600.perlbench,155413040,8ac40f7348a25fb15f3f3fcd8f3bc2f2,,no,https://zenodo.org/api/records/10960004/files/600.perlbench_s-210B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
600.perlbench_s-570B.champsimtrace.xz,600.perlbench,153792992,1fb27aed6d81a0bc9b884d5b6112f3cf,,no,https://zenodo.org/api/records/10960004/files/600.perlbench_s-570B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
602.gcc_s-1850B.champsimtrace.xz,602.gcc,704840332,a01fb04176deecb0a2bcdfc1fef62615,,no,https://zenodo.org/api/records/10960004/files/602.gcc_s-1850B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
602.gcc_s-2226B.champsimtrace.xz,602.gcc,872166372,b39ebc6bec73f8c02fe3cb84ef2bb1a8,,no,https://zenodo.org/api/records/10960004/files/602.gcc_s-2226B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
602.gcc_s-2375B.champsimtrace.xz,602.gcc,514153920,27638f06e30eb21c67a50f8c87953243,,no,https://zenodo.org/api/records/10960004/files/602.gcc_s-2375B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
602.gcc_s-734B.champsimtrace.xz,602.gcc,368694692,f3b5fb7301a2ee4d611148e99b6883ad,,no,https://zenodo.org/api/records/10960004/files/602.gcc_s-734B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
603.bwaves_s-1080B.champsimtrace.xz,603.bwaves,39621648,be58dacc16693966af732e3cf2b314a6,,no,https://zenodo.org/api/records/10960004/files/603.bwaves_s-1080B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
603.bwaves_s-1740B.champsimtrace.xz,603.bwaves,386279332,0831b9859ec3639fa46c1464bd3b8a25,,no,https://zenodo.org/api/records/10960004/files/603.bwaves_s-1740B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
603.bwaves_s-2609B.champsimtrace.xz,603.bwaves,386254828,14ac8ffc0a45bc60e1ab1319533cfcfd,,no,https://zenodo.org/api/records/10960004/files/603.bwaves_s-2609B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
603.bwaves_s-2931B.champsimtrace.xz,603.bwaves,345841820,7cffc18e7100f7eb0346b809f162f3f9,,no,https://zenodo.org/api/records/10960004/files/603.bwaves_s-2931B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
603.bwaves_s-3699B.champsimtrace.xz,603.bwaves,34878376,122deccaa020cbeef7764c6262c0114a,,no,https://zenodo.org/api/records/10960004/files/603.bwaves_s-3699B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
603.bwaves_s-5359B.champsimtrace.xz,603.bwaves,32233972,85f149b323cb0dcddbd988c58b305233,,no,https://zenodo.org/api/records/10960004/files/603.bwaves_s-5359B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
603.bwaves_s-891B.champsimtrace.xz,603.bwaves,413228556,8efc36ccea124820ca883d591e3825c5,,no,https://zenodo.org/api/records/10960004/files/603.bwaves_s-891B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
605.mcf_s-1152B.champsimtrace.xz,605.mcf,1049234404,b2a44b59bbc054008c420de77b17cf42,,no,https://zenodo.org/api/records/10960004/files/605.mcf_s-1152B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
605.mcf_s-1536B.champsimtrace.xz,605.mcf,325027976,73f39eb04b096dc6a054c7850c7f4e03,,no,https://zenodo.org/api/records/10960004/files/605.mcf_s-1536B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
605.mcf_s-1554B.champsimtrace.xz,605.mcf,166232292,8d1a93a0ff848a4de9b2f73020fe48b5,,no,https://zenodo.org/api/records/10960004/files/605.mcf_s-1554B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
605.mcf_s-1644B.champsimtrace.xz,605.mcf,1059607008,13f962a02bf237bf60eded40d3f28ecd,,no,https://zenodo.org/api/records/10960004/files/605.mcf_s-1644B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
605.mcf_s-472B.champsimtrace.xz,605.mcf,366345448,6926976432279386c1ddccfec3c031b7,,no,https://zenodo.org/api/records/10960004/files/605.mcf_s-472B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
605.mcf_s-484B.champsimtrace.xz,605.mcf,395565560,491fd95d8635ca9fa74a9d3c2356f21a,,no,https://zenodo.org/api/records/10960004/files/605.mcf_s-484B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
605.mcf_s-665B.champsimtrace.xz,605.mcf,1024276764,8d9a5df0b7dc827639063f7fc95c1c0a,,no,https://zenodo.org/api/records/10960004/files/605.mcf_s-665B.champsimtrace.xz/content,10.5281/zenodo.10960004,10960004
